ORDERNUMBER,quantity,priceperunit,SALES,ORDERDATE,PRODUCTLINE,itemid,CUSTOMERNAME,PHONE,address,CustomerID
10201,24,99.91,2397.84,12/1/2003 0:00,Motorcycles,2016,Mini Wheels Co.,0350-5555787,5557 North Pendale Street,9
10210,23,99.91,2297.93,1/12/2004 0:00,Motorcycles,2016,Osaka Souveniers Co.,0306-6342555,"Dojima Avanza 4F, 1-6-20 Dojima, Kita-ku",45
10223,47,99.91,4695.77,2/20/2004 0:00,Motorcycles,2016,"Australian Collectors, Co.",0339-5204555,636 St Kilda Road,11
10236,22,99.91,2198.02,4/3/2004 0:00,Motorcycles,2016,Motor Mint Distributors Inc.,0315-5559857,11328 Douglas Av.,46
10251,44,99.91,4396.04,5/18/2004 0:00,Motorcycles,2016,Tekni Collectables Inc.,0301-5559350,7476 Moss Rd.,13
10263,40,99.91,3996.4,6/28/2004 0:00,Motorcycles,2016,Gift Depot Inc.,0303-5552570,25593 South Bay Ln.,14
10275,22,99.91,2198.02,7/23/2004 0:00,Motorcycles,2016,La Rochelle Gifts,0300-0000000,"67, rue des Cinquante Otages",15
10285,47,99.91,4695.77,8/27/2004 0:00,Motorcycles,2016,Marta's Replicas Co.,0317-5558555,39323 Spinnaker Dr.,16
10298,39,99.91,3896.49,9/27/2004 0:00,Motorcycles,2016,Atelier graphique,0300-0000000,"54, rue Royale",47
10308,34,99.91,3396.94,10/15/2004 0:00,Motorcycles,2016,Mini Classics,0314-5554562,3758 North Pendale Street,48
10318,45,99.91,4495.95,11/2/2004 0:00,Motorcycles,2016,Diecast Classics Inc.,0315-5551555,7586 Pompton St.,19
10329,20,99.91,1998.2,11/15/2004 0:00,Motorcycles,2016,Land of Toys Inc.,0312-5557818,897 Long Airport Avenue,1
10339,40,99.91,3996.4,11/23/2004 0:00,Motorcycles,2016,"Tokyo Collectables, Ltd",0333-5840555,2-2-8 Roppongi,36
10361,26,99.91,2597.66,12/17/2004 0:00,Motorcycles,2016,Souveniers And Things Co.,0329-4958555,"Monitor Money Building, 815 Pacific Hwy",21
10374,39,99.91,3896.49,2/2/2005 0:00,Motorcycles,2016,"Australian Gift Network, Co",0373-8446555,31 Duncan St. West End,29
10388,50,99.91,4995.5,3/3/2005 0:00,Motorcycles,2016,FunGiftIdeas.com,0308-5552555,1785 First Street,22
10402,45,99.91,4495.95,4/7/2005 0:00,Motorcycles,2016,Auto Canal Petit,0300-0000000,"25, rue Lauriston",10
10417,45,99.91,4495.95,5/13/2005 0:00,Motorcycles,2016,Euro Shopping Channel,0300-0000000,"C/ Moralzarzal, 86",24
10107,27,100,2700,2/24/2003 0:00,Motorcycles,4698,Land of Toys Inc.,0312-5557818,897 Long Airport Avenue,1
10120,46,100,4600,4/29/2003 0:00,Motorcycles,4698,"Australian Collectors, Co.",0339-5204555,636 St Kilda Road,11
10134,31,100,3100,7/1/2003 0:00,Motorcycles,4698,Lyon Souveniers,0314-6627555,27 rue du Colonel Pierre Avia,3
10145,33,100,3300,8/25/2003 0:00,Motorcycles,4698,Toys4GrownUps.com,0326-5557265,78934 Hillside Dr.,4
10159,22,100,2200,10/10/2003 0:00,Motorcycles,4698,Corporate Gift Ideas Co.,0350-5551386,7734 Strong St.,5
10168,20,100,2000,10/28/2003 0:00,Motorcycles,4698,Technics Stores Inc.,0350-5556809,9408 Furth Circle,6
10180,41,100,4100,11/11/2003 0:00,Motorcycles,4698,Daedalus Designs Imports,0300-0000000,"184, chausse de Tournai",7
10188,45,100,4500,11/18/2003 0:00,Motorcycles,4698,Herkku Gifts,0372-2673215,"Drammen 121, PR 744 Sentrum",8
10201,49,100,4900,12/1/2003 0:00,Motorcycles,4698,Mini Wheels Co.,0350-5555787,5557 North Pendale Street,9
10210,34,100,3400,1/12/2004 0:00,Motorcycles,4698,Osaka Souveniers Co.,0306-6342555,"Dojima Avanza 4F, 1-6-20 Dojima, Kita-ku",45
10223,49,100,4900,2/20/2004 0:00,Motorcycles,4698,"Australian Collectors, Co.",0339-5204555,636 St Kilda Road,11
10237,39,100,3900,4/5/2004 0:00,Motorcycles,4698,Vitachrome Inc.,0312-5551500,2678 Kingston Rd.,12
10251,43,100,4300,5/18/2004 0:00,Motorcycles,4698,Tekni Collectables Inc.,0301-5559350,7476 Moss Rd.,13
10263,41,100,4100,6/28/2004 0:00,Motorcycles,4698,Gift Depot Inc.,0303-5552570,25593 South Bay Ln.,14
10275,36,100,3600,7/23/2004 0:00,Motorcycles,4698,La Rochelle Gifts,0300-0000000,"67, rue des Cinquante Otages",15
10285,27,100,2700,8/27/2004 0:00,Motorcycles,4698,Marta's Replicas Co.,0317-5558555,39323 Spinnaker Dr.,16
10299,29,100,2900,9/30/2004 0:00,Motorcycles,4698,"Toys of Finland, Co.",0300-0000000,Keskuskatu 45,17
10308,20,100,2000,10/15/2004 0:00,Motorcycles,4698,Mini Classics,0314-5554562,3758 North Pendale Street,48
10318,37,100,3700,11/2/2004 0:00,Motorcycles,4698,Diecast Classics Inc.,0315-5551555,7586 Pompton St.,19
10329,26,100,2600,11/15/2004 0:00,Motorcycles,4698,Land of Toys Inc.,0312-5557818,897 Long Airport Avenue,1
10339,39,100,3900,11/23/2004 0:00,Motorcycles,4698,"Tokyo Collectables, Ltd",0333-5840555,2-2-8 Roppongi,36
10362,22,100,2200,1/5/2005 0:00,Motorcycles,4698,Technics Stores Inc.,0350-5556809,9408 Furth Circle,6
10374,22,100,2200,2/2/2005 0:00,Motorcycles,4698,"Australian Gift Network, Co",0373-8446555,31 Duncan St. West End,29
10388,21,100,2100,3/3/2005 0:00,Motorcycles,4698,FunGiftIdeas.com,0308-5552555,1785 First Street,22
10403,66,100,6600,4/8/2005 0:00,Motorcycles,4698,"UK Collectables, Ltd.",0371-5552282,Berkeley Gardens 12  Brewery,23
10417,56,100,5600,5/13/2005 0:00,Motorcycles,4698,Euro Shopping Channel,0300-0000000,"C/ Moralzarzal, 86",24
10105,50,100,5000,2/11/2003 0:00,Classic Cars,4757,Danish Wholesale Imports,0300-0000000,Vinb'ltet 34,49
10119,46,100,4600,4/28/2003 0:00,Classic Cars,4757,Salzburg Collectables,0300-0000000,Geislweg 14,20
10129,33,100,3300,6/12/2003 0:00,Classic Cars,4757,"Stylish Desk Decors, Co.",0371-5550297,35 King George,50
10143,49,100,4900,8/10/2003 0:00,Classic Cars,4757,Mini Creations Ltd.,0308-5559555,4575 Hillside Dr.,51
10155,32,100,3200,10/6/2003 0:00,Classic Cars,4757,"Toys of Finland, Co.",0300-0000000,Keskuskatu 45,17
10167,44,100,4400,10/23/2003 0:00,Classic Cars,4757,Scandinavian Gift Ideas,0369-5346555,?kergatan 24,38
10178,24,100,2400,11/8/2003 0:00,Classic Cars,4757,Alpha Cognac,0300-0000000,1 rue Alsace-Lorraine,52
10186,26,100,2600,11/14/2003 0:00,Classic Cars,4757,"Double Decker Gift Stores, Ltd",0371-5557555,120 Hanover Sq.,53
10197,45,100,4500,11/26/2003 0:00,Classic Cars,4757,Enaco Distributors,0300-0000000,"Rambla de Catalu¤a, 23",54
10209,39,100,3900,1/9/2004 0:00,Classic Cars,4757,"Men 'R' US Retailers, Ltd.",0315-5554369,6047 Douglas Av.,55
10222,49,100,4900,2/19/2004 0:00,Classic Cars,4757,Collectable Mini Designs Co.,0360-5558146,361 Furth Circle,56
10248,20,100,2000,5/7/2004 0:00,Classic Cars,4757,Land of Toys Inc.,0312-5557818,897 Long Airport Avenue,1
10261,27,100,2700,6/17/2004 0:00,Classic Cars,4757,Quebec Home Shopping Network,0314-5558054,43 rue St. Laurent,44
10273,30,100,3000,7/21/2004 0:00,Classic Cars,4757,Petit Auto,0300-0000000,Rue Joseph-Bens 532,57
10283,25,100,2500,8/20/2004 0:00,Classic Cars,4757,"Royal Canadian Collectables, Ltd.",0304-5554555,23 Tsawassen Blvd.,58
10295,24,100,2400,9/10/2004 0:00,Classic Cars,4757,Gifts4AllAges.com,0317-5559555,8616 Spinnaker Dr.,59
10307,22,100,2200,10/14/2004 0:00,Classic Cars,4757,"Classic Gift Ideas, Inc",0315-5554695,782 First Street,30
10316,33,100,3300,11/1/2004 0:00,Classic Cars,4757,giftsbymail.co.uk,0398-5558888,Garden House Crowther Way,60
10325,47,100,4700,11/5/2004 0:00,Classic Cars,4757,Baane Mini Imports,0300-0000000,Erling Skakkes gate 78,18
10337,25,100,2500,11/21/2004 0:00,Classic Cars,4757,Classic Legends Inc.,0312-5558493,5905 Pompton St.,28
10350,26,100,2600,12/2/2004 0:00,Classic Cars,4757,Euro Shopping Channel,0300-0000000,"C/ Moralzarzal, 86",24
10359,48,100,4800,12/15/2004 0:00,Classic Cars,4757,Reims Collectables,0300-0000000,59 rue de l'Abbaye,2
10373,39,100,3900,1/31/2005 0:00,Classic Cars,4757,"Oulu Toy Supplies, Inc.",0300-0000000,Torikatu 38,61
10384,34,100,3400,2/23/2005 0:00,Classic Cars,4757,Corporate Gift Ideas Co.,0350-5551386,7734 Strong St.,5
10395,32,100,3200,3/17/2005 0:00,Classic Cars,4757,Lyon Souveniers,0314-6627555,27 rue du Colonel Pierre Avia,3
10400,64,100,6400,4/1/2005 0:00,Classic Cars,4757,The Sharp Gifts Warehouse,0308-5553659,3086 Ingle Ln.,62
10414,19,100,1900,5/6/2005 0:00,Classic Cars,4757,Gifts4AllAges.com,0317-5559555,8616 Spinnaker Dr.,59
10103,42,100,4200,1/29/2003 0:00,Classic Cars,4962,Baane Mini Imports,0300-0000000,Erling Skakkes gate 78,18
10114,31,100,3100,4/1/2003 0:00,Classic Cars,4962,"La Corne D'abondance, Co.",0300-0000000,"265, boulevard Charonne",63
10126,22,100,2200,5/28/2003 0:00,Classic Cars,4962,"Corrida Auto Replicas, Ltd",0300-0000000,"C/ Araquil, 67",26
10140,26,100,2600,7/24/2003 0:00,Classic Cars,4962,Technics Stores Inc.,0350-5556809,9408 Furth Circle,6
10150,20,100,2000,9/19/2003 0:00,Classic Cars,4962,"Dragon Souveniers, Ltd.",0300-0000000,"Bronz Sok., Bronz Apt. 3/6 Tesvikiye",27
10164,21,100,2100,10/21/2003 0:00,Classic Cars,4962,Mini Auto Werke,0300-0000000,Kirchgasse 6,64
10175,33,100,3300,11/6/2003 0:00,Classic Cars,4962,"Stylish Desk Decors, Co.",0371-5550297,35 King George,50
10183,28,100,2800,11/13/2003 0:00,Classic Cars,4962,"Classic Gift Ideas, Inc",0315-5554695,782 First Street,30
10194,26,100,2600,11/25/2003 0:00,Classic Cars,4962,"Saveley & Henriot, Co.",0300-0000000,"2, rue du Commerce",31
10207,31,100,3100,12/9/2003 0:00,Classic Cars,4962,Diecast Collectables,0317-5552555,6251 Ingle Ln.,65
10217,48,100,4800,2/4/2004 0:00,Classic Cars,4962,Handji Gifts& Co,0300-0000000,Village Close - 106 Linden Road Sandown,66
10229,50,100,5000,3/11/2004 0:00,Classic Cars,4962,Mini Gifts Distributors Ltd.,0315-5551450,5677 Strong St.,40
10245,28,100,2800,5/4/2004 0:00,Classic Cars,4962,Super Scale Inc.,0303-5559545,567 North Pendale Street,35
10259,26,100,2600,6/15/2004 0:00,Classic Cars,4962,Handji Gifts& Co,0300-0000000,Village Close - 106 Linden Road Sandown,66
10270,32,100,3200,7/19/2004 0:00,Classic Cars,4962,Souveniers And Things Co.,0329-4958555,"Monitor Money Building, 815 Pacific Hwy",21
10281,44,100,4400,8/19/2004 0:00,Classic Cars,4962,Diecast Classics Inc.,0315-5551555,7586 Pompton St.,19
10291,30,100,3000,9/8/2004 0:00,Classic Cars,4962,Scandinavian Gift Ideas,0369-5346555,?kergatan 24,38
10305,38,100,3800,10/13/2004 0:00,Classic Cars,4962,Marta's Replicas Co.,0317-5558555,39323 Spinnaker Dr.,16
10313,40,100,4000,10/22/2004 0:00,Classic Cars,4962,Canadian Gift Exchange Network,0304-5553392,1900 Oak St.,32
10322,46,100,4600,11/4/2004 0:00,Classic Cars,4962,Online Diecast Creations Co.,0303-5558647,2304 Long Airport Avenue,41
10334,26,100,2600,11/19/2004 0:00,Classic Cars,4962,"Volvo Model Replicas, Co",0392-1123555,Berguvsvgen  8,25
10347,27,100,2700,11/29/2004 0:00,Classic Cars,4962,"Australian Collectors, Co.",0339-5204555,636 St Kilda Road,11
10357,43,100,4300,12/10/2004 0:00,Classic Cars,4962,Mini Gifts Distributors Ltd.,0315-5551450,5677 Strong St.,40
10370,35,100,3500,1/20/2005 0:00,Classic Cars,4962,"Anna's Decorations, Ltd",0329-9368555,201 Miller Street,43
10381,37,100,3700,2/17/2005 0:00,Classic Cars,4962,Corporate Gift Ideas Co.,0350-5551386,7734 Strong St.,5
10391,37,100,3700,3/9/2005 0:00,Classic Cars,4962,"Anna's Decorations, Ltd",0329-9368555,201 Miller Street,43
10411,27,100,2700,5/1/2005 0:00,Classic Cars,4962,Quebec Home Shopping Network,0314-5558054,43 rue St. Laurent,44
10425,38,100,3800,5/31/2005 0:00,Classic Cars,4962,La Rochelle Gifts,0300-0000000,"67, rue des Cinquante Otages",15
10108,33,100,3300,3/3/2003 0:00,Classic Cars,1099,Cruz & Sons Co.,0332-5553587,15 McCallum Street - NatWest Center #13-03,67
10122,42,100,4200,5/8/2003 0:00,Classic Cars,1099,Marseille Mini Autos,0300-0000000,"12, rue des Bouchers",68
10135,42,100,4200,7/2/2003 0:00,Classic Cars,1099,Mini Gifts Distributors Ltd.,0315-5551450,5677 Strong St.,40
10147,48,100,4800,9/5/2003 0:00,Classic Cars,1099,Collectables For Less Inc.,0317-5558555,7825 Douglas Av.,42
10159,41,100,4100,10/10/2003 0:00,Classic Cars,1099,Corporate Gift Ideas Co.,0350-5551386,7734 Strong St.,5
10169,30,100,3000,11/4/2003 0:00,Classic Cars,1099,"Anna's Decorations, Ltd",0329-9368555,201 Miller Street,43
10181,27,100,2700,11/12/2003 0:00,Classic Cars,1099,Herkku Gifts,0372-2673215,"Drammen 121, PR 744 Sentrum",8
10191,21,100,2100,11/20/2003 0:00,Classic Cars,1099,"Toms Spezialitten, Ltd",0321-5554327,Mehrheimerstr. 369,69
10203,20,100,2000,12/2/2003 0:00,Classic Cars,1099,Euro Shopping Channel,0300-0000000,"C/ Moralzarzal, 86",24
10211,41,100,4100,1/15/2004 0:00,Classic Cars,1099,Auto Canal Petit,0300-0000000,"25, rue Lauriston",10
10225,27,100,2700,2/22/2004 0:00,Classic Cars,1099,"Vida Sport, Ltd",0389-7034555,Grenzacherweg 237,70
10238,28,100,2800,4/9/2004 0:00,Classic Cars,1099,Danish Wholesale Imports,0300-0000000,Vinb'ltet 34,49
10253,24,100,2400,6/1/2004 0:00,Classic Cars,1099,"UK Collectables, Ltd.",0371-5552282,Berkeley Gardens 12  Brewery,23
10266,44,100,4400,7/6/2004 0:00,Classic Cars,1099,L'ordine Souveniers,0352-2556555,Strada Provinciale 124,71
10276,50,100,5000,8/2/2004 0:00,Classic Cars,1099,Online Mini Collectables,0317-5557555,7635 Spinnaker Dr.,72
10287,21,100,2100,8/30/2004 0:00,Classic Cars,1099,"Vida Sport, Ltd",0389-7034555,Grenzacherweg 237,70
10300,33,100,3300,10/4/2003 0:00,Classic Cars,1099,"Blauer See Auto, Co.",0369-6690255,Lyonerstr. 34,73
10310,33,100,3300,10/16/2004 0:00,Classic Cars,1099,"Toms Spezialitten, Ltd",0321-5554327,Mehrheimerstr. 369,69
10320,31,100,3100,11/3/2004 0:00,Classic Cars,1099,"Volvo Model Replicas, Co",0392-1123555,Berguvsvgen  8,25
10329,41,100,4100,11/15/2004 0:00,Classic Cars,1099,Land of Toys Inc.,0312-5557818,897 Long Airport Avenue,1
10341,45,100,4500,11/24/2004 0:00,Classic Cars,1099,Salzburg Collectables,0300-0000000,Geislweg 14,20
10363,33,100,3300,1/6/2005 0:00,Classic Cars,1099,Suominen Souveniers,0389-8045555,"Software Engineering Center, SEC Oy",74
10375,45,100,4500,2/3/2005 0:00,Classic Cars,1099,La Rochelle Gifts,0300-0000000,"67, rue des Cinquante Otages",15
10389,26,100,2600,3/3/2005 0:00,Classic Cars,1099,Scandinavian Gift Ideas,0369-5346555,?kergatan 24,38
10419,12,100,1200,5/17/2005 0:00,Classic Cars,1099,Salzburg Collectables,0300-0000000,Geislweg 14,20
10105,41,100,4100,2/11/2003 0:00,Classic Cars,1108,Danish Wholesale Imports,0300-0000000,Vinb'ltet 34,49
10117,33,100,3300,4/16/2003 0:00,Classic Cars,1108,"Dragon Souveniers, Ltd.",0300-0000000,"Bronz Sok., Bronz Apt. 3/6 Tesvikiye",27
10127,46,100,4600,6/3/2003 0:00,Classic Cars,1108,Muscle Machine Inc,0312-5557413,4092 Furth Circle,75
10142,33,100,3300,8/8/2003 0:00,Classic Cars,1108,Mini Gifts Distributors Ltd.,0315-5551450,5677 Strong St.,40
10153,20,100,2000,9/28/2003 0:00,Classic Cars,1108,Euro Shopping Channel,0300-0000000,"C/ Moralzarzal, 86",24
10165,44,100,4400,10/22/2003 0:00,Classic Cars,1108,"Dragon Souveniers, Ltd.",0300-0000000,"Bronz Sok., Bronz Apt. 3/6 Tesvikiye",27
10176,33,100,3300,11/6/2003 0:00,Classic Cars,1108,L'ordine Souveniers,0352-2556555,Strada Provinciale 124,71
10185,21,100,2100,11/14/2003 0:00,Classic Cars,1108,Mini Creations Ltd.,0308-5559555,4575 Hillside Dr.,51
10196,47,100,4700,11/26/2003 0:00,Classic Cars,1108,Super Scale Inc.,0303-5559545,567 North Pendale Street,35
10208,46,100,4600,1/2/2004 0:00,Classic Cars,1108,"Saveley & Henriot, Co.",0300-0000000,"2, rue du Commerce",31
10220,32,100,3200,2/12/2004 0:00,Classic Cars,1108,"Clover Collections, Co.",0331-8621555,25 Maiden Lane,76
10231,42,100,4200,3/19/2004 0:00,Classic Cars,1108,CAF Imports,0391-3728555,"Merchants House, 27-30 Merchant's Quay",77
10247,44,100,4400,5/5/2004 0:00,Classic Cars,1108,Suominen Souveniers,0389-8045555,"Software Engineering Center, SEC Oy",74
10272,35,100,3500,7/20/2004 0:00,Classic Cars,1108,Diecast Classics Inc.,0315-5551555,7586 Pompton St.,19
10282,41,100,4100,8/20/2004 0:00,Classic Cars,1108,Mini Gifts Distributors Ltd.,0315-5551450,5677 Strong St.,40
10293,46,100,4600,9/9/2004 0:00,Classic Cars,1108,Amica Models & Co.,0311-4988555,Via Monte Bianco 34,37
10306,31,100,3100,10/14/2004 0:00,Classic Cars,1108,"AV Stores, Co.",0371-5551555,Fauntleroy Circus,78
10314,38,100,3800,10/22/2004 0:00,Classic Cars,1108,Heintze Collectables,0300-0000000,Smagsloget 45,79
10325,42,100,4200,11/5/2004 0:00,Classic Cars,1108,Baane Mini Imports,0300-0000000,Erling Skakkes gate 78,18
10336,33,100,3300,11/20/2004 0:00,Classic Cars,1108,"La Corne D'abondance, Co.",0300-0000000,"265, boulevard Charonne",63
10348,48,100,4800,11/1/2004 0:00,Classic Cars,1108,"Corrida Auto Replicas, Ltd",0300-0000000,"C/ Araquil, 67",26
10359,42,100,4200,12/15/2004 0:00,Classic Cars,1108,Reims Collectables,0300-0000000,59 rue de l'Abbaye,2
10371,32,100,3200,1/23/2005 0:00,Classic Cars,1108,Mini Gifts Distributors Ltd.,0315-5551450,5677 Strong St.,40
10382,34,100,3400,2/17/2005 0:00,Classic Cars,1108,Mini Gifts Distributors Ltd.,0315-5551450,5677 Strong St.,40
